Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M6/5441A,01/01/2019 00:00:00,00:14:00,0,28,1,0,6,,,,,,,,,,,,,,,68,35
M6/5441A,01/01/2019 00:00:00,00:29:00,1,45,1,0,4,,,,,,,,,,,,,,,67,50
M6/5441A,01/01/2019 00:00:00,00:44:00,2,49,0,1,4,,,,,,,,,,,,,,,71,54
M6/5441A,01/01/2019 00:00:00,00:59:00,3,46,2,1,8,,,,,,,,,,,,,,,66,57
M6/5441A,01/01/2019 00:00:00,01:14:00,4,59,2,0,7,,,,,,,,,,,,,,,68,68
M6/5441A,01/01/2019 00:00:00,01:29:00,5,56,1,0,5,,,,,,,,,,,,,,,68,62
M6/5441A,01/01/2019 00:00:00,01:44:00,6,56,1,0,10,,,,,,,,,,,,,,,67,67
M6/5441A,01/01/2019 00:00:00,01:59:00,7,51,1,0,5,,,,,,,,,,,,,,,68,57
M6/5441A,01/01/2019 00:00:00,02:14:00,8,53,0,1,4,,,,,,,,,,,,,,,71,58
M6/5441A,01/01/2019 00:00:00,02:29:00,9,62,1,0,3,,,,,,,,,,,,,,,72,66
M6/5441A,01/01/2019 00:00:00,02:44:00,10,61,0,0,9,,,,,,,,,,,,,,,70,70
M6/5441A,01/01/2019 00:00:00,02:59:00,11,53,0,0,2,,,,,,,,,,,,,,,72,55
M6/5441A,01/01/2019 00:00:00,03:14:00,12,58,1,0,9,,,,,,,,,,,,,,,71,68
M6/5441A,01/01/2019 00:00:00,03:29:00,13,68,1,2,4,,,,,,,,,,,,,,,73,75
M6/5441A,01/01/2019 00:00:00,03:44:00,14,76,1,0,9,,,,,,,,,,,,,,,70,86
M6/5441A,01/01/2019 00:00:00,03:59:00,15,43,1,0,8,,,,,,,,,,,,,,,67,52
M6/5441A,01/01/2019 00:00:00,04:14:00,16,53,1,1,10,,,,,,,,,,,,,,,67,65
M6/5441A,01/01/2019 00:00:00,04:29:00,17,45,1,0,5,,,,,,,,,,,,,,,71,51
M6/5441A,01/01/2019 00:00:00,04:44:00,18,49,1,2,8,,,,,,,,,,,,,,,68,60
M6/5441A,01/01/2019 00:00:00,04:59:00,19,41,1,1,7,,,,,,,,,,,,,,,67,50
M6/5441A,01/01/2019 00:00:00,05:14:00,20,43,1,0,4,,,,,,,,,,,,,,,70,48
M6/5441A,01/01/2019 00:00:00,05:29:00,21,29,1,0,3,,,,,,,,,,,,,,,68,33
M6/5441A,01/01/2019 00:00:00,05:44:00,22,52,3,0,7,,,,,,,,,,,,,,,69,62
M6/5441A,01/01/2019 00:00:00,05:59:00,23,36,0,1,5,,,,,,,,,,,,,,,68,42
M6/5441A,01/01/2019 00:00:00,06:14:00,24,40,2,1,13,,,,,,,,,,,,,,,62,56
M6/5441A,01/01/2019 00:00:00,06:29:00,25,37,4,0,7,,,,,,,,,,,,,,,65,48
M6/5441A,01/01/2019 00:00:00,06:44:00,26,51,2,2,13,,,,,,,,,,,,,,,65,68
M6/5441A,01/01/2019 00:00:00,06:59:00,27,44,2,0,6,,,,,,,,,,,,,,,66,52
M6/5441A,01/01/2019 00:00:00,07:14:00,28,59,3,3,18,,,,,,,,,,,,,,,65,83
M6/5441A,01/01/2019 00:00:00,07:29:00,29,72,1,3,7,,,,,,,,,,,,,,,71,83
M6/5441A,01/01/2019 00:00:00,07:44:00,30,52,0,0,16,,,,,,,,,,,,,,,65,68
M6/5441A,01/01/2019 00:00:00,07:59:00,31,62,4,3,11,,,,,,,,,,,,,,,66,80
M6/5441A,01/01/2019 00:00:00,08:14:00,32,70,0,4,14,,,,,,,,,,,,,,,67,88
M6/5441A,01/01/2019 00:00:00,08:29:00,33,81,3,6,19,,,,,,,,,,,,,,,67,109
M6/5441A,01/01/2019 00:00:00,08:44:00,34,86,2,3,13,,,,,,,,,,,,,,,68,104
M6/5441A,01/01/2019 00:00:00,08:59:00,35,93,4,4,18,,,,,,,,,,,,,,,69,119
M6/5441A,01/01/2019 00:00:00,09:14:00,36,95,3,2,15,,,,,,,,,,,,,,,68,115
M6/5441A,01/01/2019 00:00:00,09:29:00,37,101,1,3,22,,,,,,,,,,,,,,,68,127
M6/5441A,01/01/2019 00:00:00,09:44:00,38,116,0,7,16,,,,,,,,,,,,,,,70,139
M6/5441A,01/01/2019 00:00:00,09:59:00,39,151,1,11,10,,,,,,,,,,,,,,,69,173
M6/5441A,01/01/2019 00:00:00,10:14:00,40,145,4,8,25,,,,,,,,,,,,,,,68,182
M6/5441A,01/01/2019 00:00:00,10:29:00,41,188,1,8,14,,,,,,,,,,,,,,,70,211
M6/5441A,01/01/2019 00:00:00,10:44:00,42,211,6,9,19,,,,,,,,,,,,,,,70,245
M6/5441A,01/01/2019 00:00:00,10:59:00,43,275,4,2,24,,,,,,,,,,,,,,,70,305
M6/5441A,01/01/2019 00:00:00,11:14:00,44,274,3,4,16,,,,,,,,,,,,,,,70,297
M6/5441A,01/01/2019 00:00:00,11:29:00,45,298,3,3,30,,,,,,,,,,,,,,,69,334
M6/5441A,01/01/2019 00:00:00,11:44:00,46,342,2,4,21,,,,,,,,,,,,,,,69,369
M6/5441A,01/01/2019 00:00:00,11:59:00,47,383,3,2,20,,,,,,,,,,,,,,,70,408
M6/5441A,01/01/2019 00:00:00,12:14:00,48,408,2,0,38,,,,,,,,,,,,,,,70,448
M6/5441A,01/01/2019 00:00:00,12:29:00,49,427,6,6,28,,,,,,,,,,,,,,,71,467
M6/5441A,01/01/2019 00:00:00,12:44:00,50,482,3,4,40,,,,,,,,,,,,,,,68,529
M6/5441A,01/01/2019 00:00:00,12:59:00,51,466,10,1,18,,,,,,,,,,,,,,,70,495
M6/5441A,01/01/2019 00:00:00,13:14:00,52,507,5,4,25,,,,,,,,,,,,,,,69,541
M6/5441A,01/01/2019 00:00:00,13:29:00,53,541,4,2,19,,,,,,,,,,,,,,,70,566
M6/5441A,01/01/2019 00:00:00,13:44:00,54,489,8,1,30,,,,,,,,,,,,,,,70,528
M6/5441A,01/01/2019 00:00:00,13:59:00,55,459,7,4,26,,,,,,,,,,,,,,,71,496
M6/5441A,01/01/2019 00:00:00,14:14:00,56,438,5,3,30,,,,,,,,,,,,,,,71,476
M6/5441A,01/01/2019 00:00:00,14:29:00,57,469,5,4,25,,,,,,,,,,,,,,,71,503
M6/5441A,01/01/2019 00:00:00,14:44:00,58,450,4,3,26,,,,,,,,,,,,,,,72,483
M6/5441A,01/01/2019 00:00:00,14:59:00,59,441,1,1,26,,,,,,,,,,,,,,,71,469
M6/5441A,01/01/2019 00:00:00,15:14:00,60,438,7,3,19,,,,,,,,,,,,,,,72,467
M6/5441A,01/01/2019 00:00:00,15:29:00,61,454,0,4,28,,,,,,,,,,,,,,,71,486
M6/5441A,01/01/2019 00:00:00,15:44:00,62,431,5,3,22,,,,,,,,,,,,,,,71,461
M6/5441A,01/01/2019 00:00:00,15:59:00,63,423,3,1,19,,,,,,,,,,,,,,,71,446
M6/5441A,01/01/2019 00:00:00,16:14:00,64,432,5,2,15,,,,,,,,,,,,,,,72,454
M6/5441A,01/01/2019 00:00:00,16:29:00,65,389,4,2,26,,,,,,,,,,,,,,,70,421
M6/5441A,01/01/2019 00:00:00,16:44:00,66,410,6,4,25,,,,,,,,,,,,,,,70,445
M6/5441A,01/01/2019 00:00:00,16:59:00,67,379,3,2,24,,,,,,,,,,,,,,,69,408
M6/5441A,01/01/2019 00:00:00,17:14:00,68,315,5,3,26,,,,,,,,,,,,,,,68,349
M6/5441A,01/01/2019 00:00:00,17:29:00,69,411,6,2,26,,,,,,,,,,,,,,,68,445
M6/5441A,01/01/2019 00:00:00,17:44:00,70,399,8,0,26,,,,,,,,,,,,,,,68,433
M6/5441A,01/01/2019 00:00:00,17:59:00,71,314,2,3,28,,,,,,,,,,,,,,,68,347
M6/5441A,01/01/2019 00:00:00,18:14:00,72,367,2,4,27,,,,,,,,,,,,,,,68,400
M6/5441A,01/01/2019 00:00:00,18:29:00,73,335,5,5,28,,,,,,,,,,,,,,,68,373
M6/5441A,01/01/2019 00:00:00,18:44:00,74,342,7,4,28,,,,,,,,,,,,,,,67,381
M6/5441A,01/01/2019 00:00:00,18:59:00,75,285,3,2,18,,,,,,,,,,,,,,,71,308
M6/5441A,01/01/2019 00:00:00,19:14:00,76,261,2,5,26,,,,,,,,,,,,,,,68,294
M6/5441A,01/01/2019 00:00:00,19:29:00,77,294,7,5,16,,,,,,,,,,,,,,,69,322
M6/5441A,01/01/2019 00:00:00,19:44:00,78,309,4,3,21,,,,,,,,,,,,,,,69,337
M6/5441A,01/01/2019 00:00:00,19:59:00,79,275,2,3,32,,,,,,,,,,,,,,,69,312
M6/5441A,01/01/2019 00:00:00,20:14:00,80,218,5,2,28,,,,,,,,,,,,,,,68,253
M6/5441A,01/01/2019 00:00:00,20:29:00,81,266,3,2,31,,,,,,,,,,,,,,,68,302
M6/5441A,01/01/2019 00:00:00,20:44:00,82,206,4,3,20,,,,,,,,,,,,,,,68,233
M6/5441A,01/01/2019 00:00:00,20:59:00,83,196,4,3,24,,,,,,,,,,,,,,,67,227
M6/5441A,01/01/2019 00:00:00,21:14:00,84,186,4,3,34,,,,,,,,,,,,,,,66,227
M6/5441A,01/01/2019 00:00:00,21:29:00,85,171,4,3,22,,,,,,,,,,,,,,,67,200
M6/5441A,01/01/2019 00:00:00,21:44:00,86,158,0,6,22,,,,,,,,,,,,,,,67,186
M6/5441A,01/01/2019 00:00:00,21:59:00,87,134,1,5,35,,,,,,,,,,,,,,,65,175
M6/5441A,01/01/2019 00:00:00,22:14:00,88,138,2,4,28,,,,,,,,,,,,,,,68,172
M6/5441A,01/01/2019 00:00:00,22:29:00,89,148,3,0,24,,,,,,,,,,,,,,,65,175
M6/5441A,01/01/2019 00:00:00,22:44:00,90,116,9,4,24,,,,,,,,,,,,,,,66,153
M6/5441A,01/01/2019 00:00:00,22:59:00,91,98,2,1,19,,,,,,,,,,,,,,,67,120
M6/5441A,01/01/2019 00:00:00,23:14:00,92,100,3,1,31,,,,,,,,,,,,,,,67,135
M6/5441A,01/01/2019 00:00:00,23:29:00,93,96,7,2,24,,,,,,,,,,,,,,,67,129
M6/5441A,01/01/2019 00:00:00,23:44:00,94,71,2,2,31,,,,,,,,,,,,,,,65,106
M6/5441A,01/01/2019 00:00:00,23:59:00,95,62,1,1,18,,,,,,,,,,,,,,,66,82
M6/5441A,02/01/2019 00:00:00,00:14:00,0,70,1,6,20,,,,,,,,,,,,,,,65,97
M6/5441A,02/01/2019 00:00:00,00:29:00,1,66,4,3,16,,,,,,,,,,,,,,,66,89
M6/5441A,02/01/2019 00:00:00,00:44:00,2,68,7,1,19,,,,,,,,,,,,,,,68,95
M6/5441A,02/01/2019 00:00:00,00:59:00,3,51,3,2,23,,,,,,,,,,,,,,,62,79
M6/5441A,02/01/2019 00:00:00,01:14:00,4,44,3,3,27,,,,,,,,,,,,,,,59,77
M6/5441A,02/01/2019 00:00:00,01:29:00,5,38,5,4,28,,,,,,,,,,,,,,,61,75
M6/5441A,02/01/2019 00:00:00,01:44:00,6,50,6,3,33,,,,,,,,,,,,,,,62,92
M6/5441A,02/01/2019 00:00:00,01:59:00,7,36,14,1,24,,,,,,,,,,,,,,,63,75
M6/5441A,02/01/2019 00:00:00,02:14:00,8,43,11,3,22,,,,,,,,,,,,,,,63,79
M6/5441A,02/01/2019 00:00:00,02:29:00,9,22,4,4,26,,,,,,,,,,,,,,,59,56
M6/5441A,02/01/2019 00:00:00,02:44:00,10,33,1,4,30,,,,,,,,,,,,,,,59,68
M6/5441A,02/01/2019 00:00:00,02:59:00,11,13,5,7,25,,,,,,,,,,,,,,,57,50
M6/5441A,02/01/2019 00:00:00,03:14:00,12,16,2,2,34,,,,,,,,,,,,,,,57,54
M6/5441A,02/01/2019 00:00:00,03:29:00,13,16,6,8,32,,,,,,,,,,,,,,,57,62
M6/5441A,02/01/2019 00:00:00,03:44:00,14,21,6,6,34,,,,,,,,,,,,,,,57,67
M6/5441A,02/01/2019 00:00:00,03:59:00,15,26,2,5,25,,,,,,,,,,,,,,,60,58
M6/5441A,02/01/2019 00:00:00,04:14:00,16,32,3,7,39,,,,,,,,,,,,,,,58,81
M6/5441A,02/01/2019 00:00:00,04:29:00,17,43,6,9,42,,,,,,,,,,,,,,,60,100
M6/5441A,02/01/2019 00:00:00,04:44:00,18,51,10,9,51,,,,,,,,,,,,,,,59,121
M6/5441A,02/01/2019 00:00:00,04:59:00,19,75,8,10,55,,,,,,,,,,,,,,,61,148
M6/5441A,02/01/2019 00:00:00,05:14:00,20,68,10,11,52,,,,,,,,,,,,,,,60,141
M6/5441A,02/01/2019 00:00:00,05:29:00,21,91,4,12,53,,,,,,,,,,,,,,,63,160
M6/5441A,02/01/2019 00:00:00,05:44:00,22,97,14,20,71,,,,,,,,,,,,,,,61,202
M6/5441A,02/01/2019 00:00:00,05:59:00,23,148,12,20,76,,,,,,,,,,,,,,,62,256
M6/5441A,02/01/2019 00:00:00,06:14:00,24,199,18,21,68,,,,,,,,,,,,,,,64,306
M6/5441A,02/01/2019 00:00:00,06:29:00,25,276,17,26,93,,,,,,,,,,,,,,,62,412
M6/5441A,02/01/2019 00:00:00,06:44:00,26,330,20,27,94,,,,,,,,,,,,,,,64,471
M6/5441A,02/01/2019 00:00:00,06:59:00,27,409,16,24,83,,,,,,,,,,,,,,,66,532
M6/5441A,02/01/2019 00:00:00,07:14:00,28,413,19,16,96,,,,,,,,,,,,,,,65,544
M6/5441A,02/01/2019 00:00:00,07:29:00,29,515,29,24,89,,,,,,,,,,,,,,,64,657
M6/5441A,02/01/2019 00:00:00,07:44:00,30,446,19,32,87,,,,,,,,,,,,,,,65,584
M6/5441A,02/01/2019 00:00:00,07:59:00,31,482,31,24,99,,,,,,,,,,,,,,,65,636
M6/5441A,02/01/2019 00:00:00,08:14:00,32,459,25,24,86,,,,,,,,,,,,,,,67,594
M6/5441A,02/01/2019 00:00:00,08:29:00,33,442,26,34,97,,,,,,,,,,,,,,,66,599
M6/5441A,02/01/2019 00:00:00,08:44:00,34,387,22,31,92,,,,,,,,,,,,,,,67,532
M6/5441A,02/01/2019 00:00:00,08:59:00,35,347,32,30,88,,,,,,,,,,,,,,,66,497
M6/5441A,02/01/2019 00:00:00,09:14:00,36,273,20,29,99,,,,,,,,,,,,,,,65,421
M6/5441A,02/01/2019 00:00:00,09:29:00,37,287,24,29,88,,,,,,,,,,,,,,,65,428
M6/5441A,02/01/2019 00:00:00,09:44:00,38,288,30,24,97,,,,,,,,,,,,,,,65,439
M6/5441A,02/01/2019 00:00:00,09:59:00,39,293,25,28,101,,,,,,,,,,,,,,,64,447
M6/5441A,02/01/2019 00:00:00,10:14:00,40,327,36,30,102,,,,,,,,,,,,,,,65,495
M6/5441A,02/01/2019 00:00:00,10:29:00,41,367,49,30,93,,,,,,,,,,,,,,,65,539
M6/5441A,02/01/2019 00:00:00,10:44:00,42,389,30,26,90,,,,,,,,,,,,,,,66,535
M6/5441A,02/01/2019 00:00:00,10:59:00,43,373,30,24,106,,,,,,,,,,,,,,,65,533
M6/5441A,02/01/2019 00:00:00,11:14:00,44,403,29,25,103,,,,,,,,,,,,,,,65,560
M6/5441A,02/01/2019 00:00:00,11:29:00,45,438,31,35,93,,,,,,,,,,,,,,,66,597
M6/5441A,02/01/2019 00:00:00,11:44:00,46,393,34,29,115,,,,,,,,,,,,,,,65,571
M6/5441A,02/01/2019 00:00:00,11:59:00,47,451,32,40,87,,,,,,,,,,,,,,,65,610
M6/5441A,02/01/2019 00:00:00,12:14:00,48,495,34,29,102,,,,,,,,,,,,,,,66,660
M6/5441A,02/01/2019 00:00:00,12:29:00,49,488,36,43,74,,,,,,,,,,,,,,,67,641
M6/5441A,02/01/2019 00:00:00,12:44:00,50,471,40,30,97,,,,,,,,,,,,,,,64,638
M6/5441A,02/01/2019 00:00:00,12:59:00,51,524,29,33,112,,,,,,,,,,,,,,,65,698
M6/5441A,02/01/2019 00:00:00,13:14:00,52,518,24,34,118,,,,,,,,,,,,,,,65,694
M6/5441A,02/01/2019 00:00:00,13:29:00,53,513,29,38,110,,,,,,,,,,,,,,,65,690
M6/5441A,02/01/2019 00:00:00,13:44:00,54,485,41,31,111,,,,,,,,,,,,,,,65,668
M6/5441A,02/01/2019 00:00:00,13:59:00,55,498,38,31,79,,,,,,,,,,,,,,,66,646
M6/5441A,02/01/2019 00:00:00,14:14:00,56,504,24,35,101,,,,,,,,,,,,,,,65,664
M6/5441A,02/01/2019 00:00:00,14:29:00,57,566,34,33,108,,,,,,,,,,,,,,,65,741
M6/5441A,02/01/2019 00:00:00,14:44:00,58,493,25,27,89,,,,,,,,,,,,,,,66,634
M6/5441A,02/01/2019 00:00:00,14:59:00,59,492,35,22,101,,,,,,,,,,,,,,,66,650
M6/5441A,02/01/2019 00:00:00,15:14:00,60,517,39,28,74,,,,,,,,,,,,,,,66,658
M6/5441A,02/01/2019 00:00:00,15:29:00,61,539,37,17,93,,,,,,,,,,,,,,,66,686
M6/5441A,02/01/2019 00:00:00,15:44:00,62,519,19,21,83,,,,,,,,,,,,,,,67,642
M6/5441A,02/01/2019 00:00:00,15:59:00,63,453,35,19,92,,,,,,,,,,,,,,,67,599
M6/5441A,02/01/2019 00:00:00,16:14:00,64,500,25,22,91,,,,,,,,,,,,,,,66,638
M6/5441A,02/01/2019 00:00:00,16:29:00,65,568,27,19,89,,,,,,,,,,,,,,,65,703
M6/5441A,02/01/2019 00:00:00,16:44:00,66,572,22,19,91,,,,,,,,,,,,,,,64,704
M6/5441A,02/01/2019 00:00:00,16:59:00,67,511,21,6,78,,,,,,,,,,,,,,,65,616
M6/5441A,02/01/2019 00:00:00,17:14:00,68,472,24,19,69,,,,,,,,,,,,,,,65,584
M6/5441A,02/01/2019 00:00:00,17:29:00,69,499,22,13,82,,,,,,,,,,,,,,,65,616
M6/5441A,02/01/2019 00:00:00,17:44:00,70,473,12,17,77,,,,,,,,,,,,,,,65,579
M6/5441A,02/01/2019 00:00:00,17:59:00,71,432,26,5,80,,,,,,,,,,,,,,,66,543
M6/5441A,02/01/2019 00:00:00,18:14:00,72,413,15,11,85,,,,,,,,,,,,,,,65,524
M6/5441A,02/01/2019 00:00:00,18:29:00,73,417,22,6,95,,,,,,,,,,,,,,,64,540
M6/5441A,02/01/2019 00:00:00,18:44:00,74,305,11,11,92,,,,,,,,,,,,,,,65,419
M6/5441A,02/01/2019 00:00:00,18:59:00,75,257,13,8,82,,,,,,,,,,,,,,,65,360
M6/5441A,02/01/2019 00:00:00,19:14:00,76,255,16,9,83,,,,,,,,,,,,,,,63,363
M6/5441A,02/01/2019 00:00:00,19:29:00,77,232,14,5,81,,,,,,,,,,,,,,,65,332
M6/5441A,02/01/2019 00:00:00,19:44:00,78,203,12,7,86,,,,,,,,,,,,,,,63,308
