"starttime","resolution","detector_id","speed","volume","occupancy","countreadings","delay","traveltime","vht","vmt"
2018-12-31 08:00:00,00:15:00,100627,62.66,35,0.8,39,-0.02,0.39,0.23,14.35
2018-12-31 08:15:00,00:15:00,100627,62.36,28,0.57,44,-0.02,0.39,0.18,11.48
2018-12-31 08:30:00,00:15:00,100627,60.54,22,0.48,40,0,0.41,0.15,9.02
2018-12-31 08:45:00,00:15:00,100627,57.44,16,0.48,39,0.02,0.43,0.11,6.56
2018-12-31 09:00:00,00:15:00,100627,59.41,22,0.59,40,0,0.41,0.15,9.02
2018-12-31 09:15:00,00:15:00,100627,60.94,16,0.58,45,-0.01,0.4,0.11,6.56
2018-12-31 09:30:00,00:15:00,100627,63.04,24,0.6,45,-0.02,0.39,0.16,9.84
2018-12-31 09:45:00,00:15:00,100627,63.24,17,0.48,44,-0.02,0.39,0.11,6.97
2018-12-31 10:00:00,00:15:00,100627,59,20,0.7,44,0.01,0.42,0.14,8.2
2018-12-31 10:15:00,00:15:00,100627,60,22,0.68,42,0,0.41,0.15,9.02
2018-12-31 10:30:00,00:15:00,100627,58.69,16,0.43,44,0.01,0.42,0.11,6.56
2018-12-31 10:45:00,00:15:00,100627,62.5,24,0.65,45,-0.02,0.39,0.16,9.84
2018-12-31 11:00:00,00:15:00,100627,61.92,12,0.73,40,-0.01,0.4,0.08,4.92
2018-12-31 11:15:00,00:15:00,100627,60.38,21,0.77,42,0,0.41,0.14,8.61
2018-12-31 11:30:00,00:15:00,100627,61.13,22,0.54,44,-0.01,0.4,0.15,9.02
2018-12-31 11:45:00,00:15:00,100627,63,32,1.04,39,-0.02,0.39,0.21,13.12
2018-12-31 12:00:00,00:15:00,100627,60.65,23,0.56,45,0,0.41,0.16,9.43
2018-12-31 12:15:00,00:15:00,100627,62.8,44,1.13,40,-0.02,0.39,0.29,18.04
2018-12-31 12:30:00,00:15:00,100627,64.4,73,1.62,45,-0.03,0.38,0.46,29.93
2018-12-31 12:45:00,00:15:00,100627,63.9,66,1.56,45,-0.03,0.38,0.42,27.06
