"starttime","resolution","detector_id","speed","volume","occupancy","countreadings","delay","traveltime","vht","vmt"
2018-12-31 08:00:00,00:15:00,1000104,55,12,0.53,45,0.09,1.03,0.21,11.34
2018-12-31 08:15:00,00:15:00,1000104,55,3,0.18,45,0.09,1.03,0.05,2.84
2018-12-31 08:30:00,00:15:00,1000104,55,2,0.09,45,0.09,1.03,0.03,1.89
2018-12-31 08:45:00,00:15:00,1000104,55,6,0.27,45,0.09,1.03,0.1,5.67
2018-12-31 09:00:00,00:15:00,1000104,55,3,0.13,45,0.09,1.03,0.05,2.84
2018-12-31 09:15:00,00:15:00,1000104,55,4,0.18,45,0.09,1.03,0.07,3.78
2018-12-31 09:30:00,00:15:00,1000104,55,1,0.04,45,0.09,1.03,0.02,0.95
2018-12-31 09:45:00,00:15:00,1000104,55,3,0.13,45,0.09,1.03,0.05,2.84
2018-12-31 10:00:00,00:15:00,1000104,55,1,0.04,45,0.09,1.03,0.02,0.95
2018-12-31 10:15:00,00:15:00,1000104,55,1,0.04,45,0.09,1.03,0.02,0.95
2018-12-31 10:30:00,00:15:00,1000104,26.33,3,0.33,45,1.21,2.15,0.11,2.84
2018-12-31 10:45:00,00:15:00,1000104,55,1,0.04,45,0.09,1.03,0.02,0.95
2018-12-31 11:00:00,00:15:00,1000104,55,1,0.04,45,0.09,1.03,0.02,0.95
2018-12-31 11:15:00,00:15:00,1000104,NA,0,0,45,NA,NA,NA,0
2018-12-31 11:30:00,00:15:00,1000104,NA,0,0,45,NA,NA,NA,0
2018-12-31 11:45:00,00:15:00,1000104,55,1,0.04,45,0.09,1.03,0.02,0.95
2018-12-31 12:00:00,00:15:00,1000104,55,3,0.13,45,0.09,1.03,0.05,2.84
2018-12-31 12:15:00,00:15:00,1000104,55,4,0.2,45,0.09,1.03,0.07,3.78
2018-12-31 12:30:00,00:15:00,1000104,NA,0,0,45,NA,NA,NA,0
2018-12-31 12:45:00,00:15:00,1000104,55,4,0.18,45,0.09,1.03,0.07,3.78
2018-12-31 13:00:00,00:15:00,1000104,55,6,0.35,45,0.09,1.03,0.1,5.67
2018-12-31 13:15:00,00:15:00,1000104,55,5,0.22,45,0.09,1.03,0.09,4.73
2018-12-31 13:30:00,00:15:00,1000104,55,8,0.36,45,0.09,1.03,0.14,7.56
2018-12-31 13:45:00,00:15:00,1000104,55,16,0.71,45,0.09,1.03,0.27,15.12
