"starttime","resolution","detector_id","speed","volume","occupancy","countreadings","delay","traveltime","vht","vmt"
2018-12-31 08:00:00,00:15:00,101745,47,2,0.05,38,0.14,0.63,0.02,0.98
2018-12-31 08:15:00,00:15:00,101745,NA,0,0,39,NA,NA,NA,0
2018-12-31 08:30:00,00:15:00,101745,58,1,0.02,45,0.02,0.51,0.01,0.49
2018-12-31 08:45:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 09:00:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 09:15:00,00:15:00,101745,54,1,0.02,45,0.05,0.54,0.01,0.49
2018-12-31 09:30:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 09:45:00,00:15:00,101745,54,1,0.02,45,0.05,0.54,0.01,0.49
2018-12-31 10:00:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 10:15:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 10:30:00,00:15:00,101745,NA,0,0,39,NA,NA,NA,0
2018-12-31 10:45:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 11:00:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 11:15:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 11:30:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 11:45:00,00:15:00,101745,NA,0,0,44,NA,NA,NA,0
2018-12-31 12:00:00,00:15:00,101745,NA,0,0,44,NA,NA,NA,0
2018-12-31 12:15:00,00:15:00,101745,54,1,0.02,45,0.05,0.54,0.01,0.49
2018-12-31 12:30:00,00:15:00,101745,51.5,2,0.07,36,0.08,0.57,0.02,0.98
2018-12-31 12:45:00,00:15:00,101745,55.33,3,0.07,44,0.04,0.53,0.03,1.47
2018-12-31 13:00:00,00:15:00,101745,60,2,0.02,44,0,0.49,0.02,0.98
2018-12-31 13:15:00,00:15:00,101745,NA,0,0,45,NA,NA,NA,0
2018-12-31 13:30:00,00:15:00,101745,40.5,2,0.07,45,0.24,0.73,0.02,0.98
2018-12-31 13:45:00,00:15:00,101745,53,1,0.04,38,0.06,0.55,0.01,0.49
2018-12-31 14:00:00,00:15:00,101745,55.5,2,0.06,39,0.04,0.53,0.02,0.98
2018-12-31 14:15:00,00:15:00,101745,52,7,0.18,45,0.08,0.57,0.07,3.43
2018-12-31 14:30:00,00:15:00,101745,52.27,11,0.31,45,0.07,0.56,0.1,5.39
2018-12-31 14:45:00,00:15:00,101745,51.67,6,0.13,45,0.08,0.57,0.06,2.94
2018-12-31 15:00:00,00:15:00,101745,59.6,5,0.09,44,0,0.49,0.04,2.45
2018-12-31 15:15:00,00:15:00,101745,49.57,7,0.19,39,0.1,0.59,0.07,3.43
2018-12-31 15:30:00,00:15:00,101745,50.1,10,0.26,42,0.1,0.59,0.1,4.9
2018-12-31 15:45:00,00:15:00,101745,53.6,10,0.29,42,0.06,0.55,0.09,4.9
2018-12-31 16:00:00,00:15:00,101745,61.67,18,0.41,44,-0.01,0.48,0.14,8.82
2018-12-31 16:15:00,00:15:00,101745,54.13,8,0.19,39,0.05,0.54,0.07,3.92
2018-12-31 16:30:00,00:15:00,101745,51.89,9,0.22,45,0.08,0.57,0.08,4.41
2018-12-31 16:45:00,00:15:00,101745,52.14,14,0.31,44,0.07,0.56,0.13,6.86
2018-12-31 17:00:00,00:15:00,101745,56.34,21,0.53,45,0.03,0.52,0.18,10.29
2018-12-31 17:15:00,00:15:00,101745,59.08,25,0.62,45,0.01,0.5,0.21,12.25
2018-12-31 17:30:00,00:15:00,101745,53.65,17,0.42,45,0.06,0.55,0.16,8.33
2018-12-31 17:45:00,00:15:00,101745,54.94,16,0.47,45,0.05,0.54,0.14,7.84
2018-12-31 18:00:00,00:15:00,101745,52.95,18,0.42,45,0.07,0.56,0.17,8.82
2018-12-31 18:15:00,00:15:00,101745,51.73,22,0.64,45,0.08,0.57,0.21,10.78
2018-12-31 18:30:00,00:15:00,101745,54.76,33,0.82,45,0.05,0.54,0.3,16.17
2018-12-31 18:45:00,00:15:00,101745,51.64,33,0.91,45,0.08,0.57,0.31,16.17
2018-12-31 19:00:00,00:15:00,101745,55.37,43,1.11,45,0.04,0.53,0.38,21.07
2018-12-31 19:15:00,00:15:00,101745,51.88,32,0.89,39,0.08,0.57,0.3,15.68
2018-12-31 19:30:00,00:15:00,101745,51.63,54,1.6,45,0.08,0.57,0.51,26.46
2018-12-31 19:45:00,00:15:00,101745,50.56,48,1.36,45,0.09,0.58,0.47,23.52
2018-12-31 20:00:00,00:15:00,101745,55.17,34,1.12,39,0.04,0.53,0.3,16.66
2018-12-31 20:15:00,00:15:00,101745,52.59,29,0.76,45,0.07,0.56,0.27,14.21
2018-12-31 20:30:00,00:15:00,101745,50.81,47,1.31,45,0.09,0.58,0.45,23.03
2018-12-31 20:45:00,00:15:00,101745,51.63,30,0.82,45,0.08,0.57,0.28,14.7
2018-12-31 21:00:00,00:15:00,101745,52.82,33,0.78,45,0.07,0.56,0.31,16.17
2018-12-31 21:15:00,00:15:00,101745,54.65,20,0.49,45,0.05,0.54,0.18,9.8
2018-12-31 21:30:00,00:15:00,101745,53.53,36,0.89,45,0.06,0.55,0.33,17.64
2018-12-31 21:45:00,00:15:00,101745,55.14,29,1.02,33,0.04,0.53,0.26,14.21
2018-12-31 22:00:00,00:15:00,101745,53.07,29,0.82,44,0.06,0.55,0.27,14.21
2018-12-31 22:15:00,00:15:00,101745,54.58,24,0.67,45,0.05,0.54,0.22,11.76
2018-12-31 22:30:00,00:15:00,101745,54.34,18,0.56,39,0.05,0.54,0.16,8.82
2018-12-31 22:45:00,00:15:00,101745,53.64,36,0.91,45,0.06,0.55,0.33,17.64
2018-12-31 23:00:00,00:15:00,101745,53.61,23,0.6,45,0.06,0.55,0.21,11.27
2018-12-31 23:15:00,00:15:00,101745,52.3,30,0.93,42,0.07,0.56,0.28,14.7
2018-12-31 23:30:00,00:15:00,101745,53.76,33,0.9,42,0.06,0.55,0.3,16.17
2018-12-31 23:45:00,00:15:00,101745,51.58,45,1.27,45,0.08,0.57,0.43,22.05
2019-01-01 00:00:00,00:15:00,101745,51.79,33,1.03,39,0.08,0.57,0.31,16.17
2019-01-01 00:15:00,00:15:00,101745,51.62,32,0.78,45,0.08,0.57,0.3,15.68
2019-01-01 00:30:00,00:15:00,101745,52.28,32,0.82,45,0.07,0.56,0.3,15.68
2019-01-01 00:45:00,00:15:00,101745,52.41,44,1.13,45,0.07,0.56,0.41,21.56
2019-01-01 01:00:00,00:15:00,101745,48.54,48,1.51,45,0.12,0.61,0.48,23.52
2019-01-01 01:15:00,00:15:00,101745,49.6,30,0.75,45,0.1,0.59,0.3,14.7
2019-01-01 01:30:00,00:15:00,101745,51.5,26,0.8,39,0.08,0.57,0.25,12.74
2019-01-01 01:45:00,00:15:00,101745,52.16,25,0.85,39,0.07,0.56,0.23,12.25
2019-01-01 02:00:00,00:15:00,101745,52.25,8,0.22,45,0.07,0.56,0.08,3.92
2019-01-01 02:15:00,00:15:00,101745,55.54,24,0.6,45,0.04,0.53,0.21,11.76
2019-01-01 02:30:00,00:15:00,101745,57.17,6,0.15,39,0.02,0.51,0.05,2.94
2019-01-01 02:45:00,00:15:00,101745,52,23,0.58,45,0.08,0.57,0.22,11.27
2019-01-01 03:00:00,00:15:00,101745,49.78,9,0.24,39,0.1,0.59,0.09,4.41
2019-01-01 03:15:00,00:15:00,101745,51,5,0.11,45,0.09,0.58,0.05,2.45
